ad:tech_new_york_2012,ad:tech New York 2012,"Sessions covering today’s pivotal topics, include Brand and Agency Issues, Display, Innovation, Mobile, ROI, Social, Tablets, Targeting, Video, Start Up Technology, Media and more.",Jacob K. Javits Convention Center,11/7/2012,11/08/12,advertising,ad-tech.com/ny,,,ad:tech,1,DF,FALSE
dreamforce_san_francisco_2012,Dreamforce San Francisco 2012,Salesforce's annual user & developer conference ,Moscone Center,9/18/2012,09/21/12,software; crm,salesforce.com/dreamforce,,,Dreamforce,1,MB,FALSE
e3_2012,E3 2012,Annual video game conference and show,Los Angeles Convention Center,6/5/2012,06/07/12,entertainment,e3expo.com,,,E3,1,DF,FALSE
gamescom_europe_2012,Gamescom Europe 2012,The world's largest trade fair and event highlight for interactive games and entertainment.,Koelnmesse ,8/15/2012,08/19/12,entertainment,gdceurope.com,,,Gamescom,1,MB,FALSE
gdc_san_francisco_2012,GDC San Francisco 2012,The world's largest trade fair and event highlight for interactive games and entertainment.,Moscone Center,3/5/2012,03/09/12,entertainment,gdconf.com,,,GDC,1,DF,FALSE
gdc_online_2012,GDC Online 2012,"The Game Developers Conference Online (GDC Online) is the premier professionals-only event for online, social, and cloud gaming.",Austin Convention Center,10/9/2012,10/11/12,entertainment,gdconline.com,,,GDC,1,MB,FALSE
g-star_2012,G-Star 2012,Global game exhibition,Busan Exhibition and Convention Center (BEXCO),11/8/2012,11/11/12,entertainment,gstar.or.kr/eng,,,G-Star,0,DF,FALSE
himss_2012,HIMSS 2012,Healthcare Information and Management Systems Society Conference,Sands Expo & Convention Center,2/20/2012,02/24/12,healthcare,himssconference.org,,,HIMSS,1,MB,FALSE
interop_las_vegas_2012,Interop Las Vegas 2012,"Interop has a 26 year history in the US – and has expanded beyond its beginnings in network infrastructure to encompass a broad range of technologies including Cloud, Virtualization, Data Centers, Wireless & Mobility, and Information Security.",Mandalay Bay Convention Center,5/6/2012,05/10/12,software,interop.com/lasvegas,,,Interop,1,DF,FALSE
iste_2012,ISTE 2012,National Educational Computing Conference,San Diego Convention Center,6/24/2012,06/27/12,education,isteconference.org/2012,,,ITSE,1,MB,FALSE
microsoft_teched_north_america_2012,Microsoft TechEd North America 2012,"TechEd is Microsoft's premier technology conference for IT professionals and developers, offering the most comprehensive technical education across Microsoft's current and soon-to-be-released suite of products, solutions, tools, and services. ",Orange County Convention Center,6/11/2012,06/14/12,software,northamerica.msteched.com,,,TechEd,1,DF,FALSE
noah_conference_london_2011,Noah Conference London 2011,"The preeminent European event where Internet CEOs, executives and investors gain deep insights into the latest proven concepts, network with senior executives and establish new business relationships. ",Old Billingsgate,11/9/2011,11/10/11,internet; technology,noah-conference.com,,,Noah Conference,1,MB,FALSE
noah_conference_london_2012,Noah Conference London 2012,"The preeminent European event where Internet CEOs, executives and investors gain deep insights into the latest proven concepts, network with senior executives and establish new business relationships. ",Old Billingsgate,11/6/2012,11/07/12,internet; technology,noah-conference.com,,,Noah Conference,1,DF,FALSE
noah_conference_san_francisco_2012,Noah Conference San Francisco 2012,"The preeminent European event where Internet CEOs, executives and investors gain deep insights into the latest proven concepts, network with senior executives and establish new business relationships. ",Four Seasons Hotel San Francisco,6/26/2012,06/26/12,internet; technology,noah-conference.com,,,Noah Conference,1,MB,FALSE
pacific_crest_global_technology_leadership_forum_2012,Pacific Crest Global Technology Leadership Forum 2012,Annual technology forum hosted by Pacific Crest Securities,Sonnenalp Resort of Vail,8/13/2012,08/14/12,technology,pacific-crest.com,,,Pacific Crest,1,DF,FALSE
rsa_usa_2012,RSA USA 2012,RSA Conference is a cryptography and information security-related conference.,Moscone Center,2/27/2012,03/02/12,software; security,rsaconference.com,,,RSA,1,MB,FALSE
sharepoint_conference_2012,Sharepoint Conference 2012,Microsoft's Annual Sharepoint Conference,Mandalay Bay Convention Center,11/12/2012,11/15/12,sharepoint,mssharepointconference.com,,,Sharepoint Conference,1,DF,FALSE
stratacon_&_hadoop_world,StrataCon & Hadoop World,"The O’Reilly Strata Conference explores the changes brought to technology and business by big data, data science, and pervasive computing. This year, Strata has joined forces with Hadoop World to create the largest gathering of the Apache Hadoop community in the world.",Hilton New York,10/23/2012,10/25/12,big world,strataconf.com,,,Strata; Hadoop World,1,MB,FALSE
vmworld_san_francisco_2012,VMWorld San Francisco 2012,VMworld is the global conference for virtualization and cloud computing,Moscone Center,8/26/2012,08/30/12,software,vmworld.com,,,VMWorld,1,DF,Err:508
(isc)2_security_congress_2012,(ISC)2 Security Congress 2012,(ISC)² Security Congress is an annual event bringing together world-renowned information security thought leaders and luminaries for discussions on a wide range of pressing issues facing information security professionals.,Pennsylvania Convention Center,9/10/2012,09/13/12,information security,isc2.org/Conferences.aspx,,,(ISC)2,0,MB,FALSE
afp_annual_conference_2012,AFP Annual Conference 2012,The AFP Annual Conference is the largest annual meeting of corporate treasury and finance professionals in the United States. The conference offers sessions on current topics in treasury and finance and visit an exhibition hall featuring leading providers of products and services to the treasury and finance profession.,Miami Beach Convention Center,10/14/2012,10/17/12,finance,afpconference.org/,,,AFP,0,DF,FALSE
astro_annual_meeting_2012,ASTRO Annual Meeting 2012,"The theme for ASTRO's 54th Annual Meeting is Advancing Patient Care Through Innovation. These trends will have untold effects on radiation oncology care as well. Many health policy experts see “innovation” as the solution for these challenges to  our health care system—not only technological innovation, but innovation in the delivery of  care—to achieve  improved  outcomes while bending the cost curve.",Boston Convention and Exhibition Center,10/28/2012,10/31/12,healthcare,astro.org/Meetings-and-Events/2012-Annual-Meeting/Index.aspx,,,ASTRO,0,MB,FALSE
clinton_global_initiative_annual_conference_2012,Clinton Global Initiative Annual Conference 2012,"The 2012 Annual Meeting will explore how the Clinton Global Initiative community can utilize our abundance of global capacity to invent better tools, build more effective interventions, and work creatively and collaboratively to design a future worth pursuing.",Sheraton New York Hotel & Towers,9/23/2012,09/25/12,politics; governance,clintonglobalinitiative.org/ourmeetings/2012/default.asp?Section=OurMeetings&PageTitle=CGI%20Annual%20Meeting,,,Clinton Global Initiative,0,DF,FALSE
commit!forum_2012,COMMIT!Forum 2012,Join the World’s Leaders Shaping the Face of Corporate Responsibility,Cipriani Wall Street,10/2/2012,10/03/12,corporate responsibility,commitforum.com/,,,COMMIT!Forum,0,MB,OK
iapd_convention_&_plastics_expo_2012,IAPD Convention & Plastics Expo 2012,"The International Association of Plastics Distribution brings together manufacturers, distributors, manufacturers’ representatives and service providers in an environment which encourages a free flow of ideas and information that help members build their businesses. The IAPD Convention and Plastics Expo offers educational sessions presented by some of the best in the business.",Donald E Stephens Convention Center,10/23/2012,10/26/12,plastics,iapd.org/events/2012-annual-convention.cfm,,,,0,DF,FALSE
ifsa_conference_&_exhibition_2012,IFSA Conference & Exhibition 2012,"Join IFSA for the 2012 Annual Conference & Exhibition, to be held September 18-20 at the Long Beach Convention Center in Long Beach, California. The Conference is on track to be more productive and memorable than any past IFSA conferences.",Long Beach Convention Center,9/18/2012,09/20/12,airlines,ifsanet.com/Default.aspx?tabid=318,,,,0,MB,FALSE
jack_henry_banking_educational_conference_2012,Jack Henry Banking Educational Conference 2012,"The Banking Educational Conference and Technology Showcase offers educational sessions and training classes, the opportunity to network and discuss industry trends and challenges with your peers and Jack Henry Banking's associates, and the opportunity to visit the Technology Showcase and investigate the business and banking solutions provided by Jack Henry Banking and select solutions providers.",Gaylord Texan Hotel and Conference Center,10/15/2012,10/18/12,finance,www2.jackhenry.com/CM-INFO/conference.aspx?conferenceID=1e26e2eb-0926-4e30-9ba0-38d5709de0d7,,,,0,DF,FALSE
sema_show_2012,SEMA Show 2012,"The SEMA Show is the premier automotive specialty products trade event in the world. It draws the industry’s brightest minds and hottest products to one place, the Las Vegas Convention Center. In addition, the SEMA Show provides attendees with educational seminars, product demonstrations, special events, networking opportunities and more.",Las Vegas Convention Center,10/30/2012,11/02/12,automotive,semashow.com/,,,,0,MB,FALSE
serious_play_conference_2012,Serious Play Conference 2012,"Serious Play Conference is a ""boot camp"" featuring feature sessions by publishers, developers, game design consultants, market analysts and other professionals already leveraging game mechanics in education, health care, corporations, government and for military training as well as vendors providing serious games hardware and software and faculty teaching serious game development.",DigiPen Institute of Technology,8/21/2012,08/23/12,entertainment,seriousplayconference.com,,,Serious Play,0,DF,FALSE
ces_new_york_press_preview_2013,CES New York Press Preview 2013,"CES New York Press Preview is a must-attend preview of hot holiday products, the highly anticipated release of CEA’s annual holiday sales forecast, and the latest news about the 2013 International CES. ",The Metropolitan Pavilion,11/12/2012,11/12/12,consumer electronics,ce.org/Events-and-Awards/Events/2012-Events/International-CES-New-York-Press-Preview-featu,,,CES,0,MB,FALSE
ces_unveiled_london_2013,CES Unveiled London 2013,The Consumer Electronics Association has taken the CES Unveiled property international with the second annual CES Unveiled LONDON. Executives from CEA’s market research department will present holiday sales and hot tech trends forecasts to top European journalists along with CES announcements.,Inmarsat Conference Center,11/15/2012,11/15/12,consumer electronics,ce.org/Events-and-Awards/Events/2012-Events/CES-Unveiled-LONDON,,,CES,0,DF,FALSE
ces_unveiled_new_york_2013,CES Unveiled New York 2013,Get a sneak peek at this year's hottest products two months before the 2013 International CES even begins!,The Metropolitan Pavilion,11/12/2012,11/12/12,consumer electronics,ce.org/Events-and-Awards/Event-Overview.aspx,,,CES,0,MB,FALSE
international_ces_2013,International CES 2013,Consumer Electronics Show,Las Vegas Convention Center,1/8/2013,01/11/13,consumer electronics,cesweb.org/,,,,0,DF,FALSE
nab_show_2013,NAB Show 2013,"From Broadcasting to Broader-casting®, the NAB Show® has evolved over the last eight decades to continually lead this ever-changing industry. While the solutions at your fingertips have changed to keep pace with consumer habits and technologies, your aspirations to produce and deliver memorable content have remained constant. From creation to consumption, the NAB Show has proudly served as the incubator for excellence – helping to breathe life into content everywhere. ",Las Vegas Convention Center,4/8/2013,04/11/13,broadcasting,nabshow.com/2013/default.asp,,,,0,MB,FALSE
payments_summit_2013,Payments Summit 2013,"The leading annual event for ID security returns to the Washington Convention Center with comprehensive coverage of efforts toward strong authentication technology in government identity programs, including Personal Identity Verification (PIV) credentials, developments in National Strategy for Trusted Identities in Cyberspace (NSTIC), trusted ID on the Internet and on mobile devices, developments in state and local ID, and evolving global standards.",Walter E. Washington Convention Center,2/5/2013,02/07/13,ID security,smartcardalliance.org/pages/activities-next-conference,,,,0,DF,FALSE
